6374897623                    6323457623                    6376896666                    6374891345                    6374803463                    
                                                                                                                                                      
                                                                                                                                                      
Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  
100000000                     100000001                     100000002                     100000003                     100000004                     
2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
6374806733                    6374893572                    6374824562                    6374834523                    6374823423                    
                                                                                                                                                      
                                                                                                                                                      
Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  Cell-C 10.00                  
100000005                     100000006                     100000007                     100000008                     100000009                     
2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
4562455523                    3456547623                    3457637623                    2456597622                    3456546623                    
                                                                                                                                                      
                                                                                                                                                      
MTN 5.00                      MTN 5.00                      MTN 5.00                      MTN 5.00                      MTN 5.00                      
200000009                     200000010                     200000011                     200000012                     200000013                     
2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
2562190623343                 2436234623344                 3562456623546                 1451357622123                 2374897623135                 
                                                                                                                                                      
                                                                                                                                                      
Vodacom 12.00                 Vodacom 12.00                 Vodacom 12.00                 Vodacom 12.00                 Vodacom 12.00                 
300000009                     300000010                     300000011                     300000012                     300000013                     
2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    2020-01-01                    
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
